Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Is_Weekend,Fraud_Label,Amount_to_Avg_Ratio
39.79,3,93213.17,0,3,4,0,0,7,437.63,3,0,65,883.17,0,0,0,0.09090078358805656
1.19,1,75725.25,1,2,0,0,0,13,478.76,4,2,186,2203.36,3,0,1,0.0024850687048406633
28.96,2,1588.96,2,1,3,0,0,14,50.01,4,3,226,1909.29,0,0,1,0.5779285571742168
254.32,0,76807.2,2,2,0,0,0,8,182.48,4,3,76,1311.86,1,0,1,1.3929236499068902
31.28,3,92354.66,1,1,1,0,1,14,328.69,4,2,140,966.98,3,1,1,0.09513671340369233
168.55,2,33236.94,0,4,3,0,0,3,226.85,2,1,51,1725.64,1,0,0,0.7426745979290593
3.79,3,86834.18,2,0,3,0,0,2,298.35,2,2,168,3757.19,3,0,0,0.012698944546825262
7.08,0,45826.27,2,0,3,0,0,3,164.38,4,1,182,1764.66,0,0,1,0.04304474708171206
34.25,0,94392.35,2,4,0,0,0,7,90.02,3,3,24,550.38,0,1,0,0.3800488237905016
16.24,3,91859.97,1,1,4,0,0,6,474.42,1,2,124,720.91,2,0,0,0.034224057995448025
367.5,3,14640.09,0,1,1,0,0,4,397.58,0,0,136,292.36,2,0,0,0.9241098370549186
50.44,0,19962.22,0,0,4,0,0,14,278.55,1,1,131,3993.62,2,0,0,0.181015610981518
55.5,0,89664.63,0,0,2,0,0,6,483.58,4,1,192,3721.54,1,0,1,0.11474528613959642
54.09,1,51287.15,1,3,1,0,0,11,152.63,2,0,91,1061.27,2,0,0,0.35415439010017685
9.66,2,12420.17,2,2,1,0,0,6,173.97,0,2,5,762.21,1,1,0,0.0554949158384558
64.78,3,23487.76,0,1,3,0,0,1,17.85,2,0,3,3378.44,3,0,0,3.608913649025069
37.11,3,92977.91,2,3,1,0,0,12,457.42,3,3,135,395.36,0,1,0,0.08111120825319111
1.58,1,63076.36,0,2,0,0,0,13,309.49,1,0,47,2074.77,0,0,0,0.005103524015633579
178.56,3,62359.52,2,4,2,0,0,4,491.21,4,3,29,2159.31,3,1,1,0.3634365268364169
19.37,1,34416.01,2,0,4,0,0,9,163.5,3,1,129,4436.61,2,0,0,0.11839853300733498
